Name,Country,Region
#100. Baron De Ley 2018 White,Spain,Rioja
#99. Dalton 2019 Canaan Red,Israel,Galilee
#98. Oyster Bay 2018 Merlot,New Zealand,Hawke's Bay
#97. Zantho 2018 Blaufränkisch,Austria,Burgenland
#96. Veramonte 2019 Reserva Made with Organic Grapes Sauvignon Blanc,Chile,Casablanca Valley
#95. Excelsior 2018 Cabernet Sauvignon,South Africa,Robertson
#94. Caruso & Minini 2018 Terre di Giumara Nero d'Avola,Italy,Sicilia
#93. Aveleda 2019 White,Portugal,Vinho Verde
#92. Greek Wine Cellars 2018 Kouros Assyrtiko,Greece,Sterea Ellada
#91. Masia Salat NV Organic Brut Nature Sparkling,Spain,Cava
#90. Dr. Heidemanns-Bergweiler 2018 Blitz Riesling,Germany,Mosel
#89. DiamAndes 2019 Perlita Chardonnay,Argentina,Uco Valley
#88. Umani Ronchi 2018 Podere Montepulciano,Italy,Montepulciano d'Abruzzo
#87. Wine by Joe 2019 Pinot Blanc,USA,Willamette Valley
#86. Piccini 2019 Mario Primo Red,Italy,Chianti
#85. Alto de la Ballena 2015 Tannat-Merlot-Cabernet Franc Red,Uruguay,Maldonado
#84. Domaine Bousquet NV Brut Rosé Pinot Noir-Chardonnay...,Argentina,Tupungato
#83. Georges Vigouroux 2018 Gouleyant Malbec,France,Cahors
#82. Calcu 2017 Reserva Especial Cabernet Franc,Chile,Colchagua Valley
#81. Two Birds One Stone 2019 Rouge Carignan,France,Vin de France
#80. Trivento 2018 White Orchid Reserve Torrontés,Argentina,Mendoza
#79. Wagner 2019 Dry Rosé of Cabernet Franc,USA,Finger Lakes
#78. Domaines Barons de Rothschild (Lafite) 2017 BrisAndes Cabernet Sauvignon,Chile,Colchagua Valley
#77. Villa Maria 2019 Private Bin Sauvignon Blanc,New Zealand,Marlborough
#76. Tenute Rubino 2018 Primitivo,Italy,Salento
#75. Mezzacorona 2019 Estate Bottled Pinot Grigio,Italy,Trentino
#74. D'Arenberg 2017 The Stump Jump Shiraz,Australia,McLaren Vale
#73. Bricco dei Guazzi 2018 del Comune di Gavi Cortese,Italy,Gavi
#72. Dry Creek Vineyard 2018 Dry Chenin Blanc,USA,Clarksburg
#71. Cuatro Rayas 2019 Nave Sur Verdejo,Spain,Rueda
#70. Charles & Charles 2017 Post No. 35 Blend Red,USA,Columbia Valley (WA)
#69. Sokol Blosser NV Evolution Lucky No. 9 White,USA,America
#68. Yellow Tail 2019 Pinot Grigio,Australia,South Eastern Australia
#67. McManis 2018 Estate Grown Certified Sustainable Merlot,USA,Lodi
#66. Herdade do Esporão 2019 Quinta do Ameal Bico Amarelo White,Portugal,Vinho Verde
#65. Warwick 2018 The First Lady Chardonnay,South Africa,Western Cape
#64. Underwood 2018 Pinot Noir,USA,Oregon
#63. Lamoreaux Landing 2018 Semi-Dry Riesling,USA,Finger Lakes
#62. Kiona 2018 Estate Grown Lemberger,USA,Red Mountain
#61. Château Pascaud 2018 Bordeaux Supérieur,France,Bordeaux Supérieur
#60. Adega Mãe 2019 Dory White,Portugal,Lisboa
#59. Netzl 2019 Rosanna Rosé,Austria,Niederösterreich
#58. Stony Lonesome 2018 Gewürztraminer,USA,Finger Lakes
#57. Magnum Carlos Lucas Vinhos 2017 Tricana Red,Portugal,Dão
#56. Salt of the Earth 2018 Rubino Moscato,USA,California
#55. Willamette Valley Vineyards 2018 Riesling,USA,Willamette Valley
#54. Castello Monaci 2019 Kreos Negroamaro Rosato,Italy,Salento
#53. Girasole 2019 Pinot Blanc,USA,Mendocino County
#52. Café du Midi 2019 Merlot,France,Vin de France
#51. Toad Hollow 2019 Eye of the Toad Dry Rosé of Pinot Noir,USA,Sonoma County
#50. Cline 2019 Viognier,USA,North Coast
#49. Àlvaro Domecq NV La Janda Fino Sherry,Spain,Jerez
#48. Bulgariana 2018 Pinot Noir,Bulgaria,Danube River Plains
#47. Lionel Osmin & Cie 2019 Villa La Vie En Rose Negrette,France,Vin de France
#46. Waterbrook 2018 Malbec,USA,Columbia Valley (WA)
#45. Kendall-Jackson 2019 Vintner's Reserve Sauvignon Blanc,USA,California
#44. Res Fortes 2019 Rosé,France,Côtes du Roussillon
#43. Lopez de Haro 2017 Crianza Tempranillo,Spain,Rioja
#42. Hahn 2018 G-S-M,USA,Central Coast
#41. Fabre Montmayou 2018 Reserva Malbec,Argentina,Mendoza
#40. A to Z 2018 Chardonnay,USA,Oregon
#39. Château Mourgues du Grès 2018 Galets Red,France,Costières de Nîmes
#38. Husch 2018 Dry Gewurztraminer,USA,Anderson Valley
#37. Lamadrid 2019 Single Vineyard Bonarda,Argentina,Agrelo
#36. Château Suau 2019 Bordeaux Blanc,France,Bordeaux Blanc
#35. San Pedro 2018 1865 Selected Vineyards Carmenère,Chile,Maule Valley
#34. L'Ecole No. 41 2018 Semillon,USA,Columbia Valley (WA)
#33. Quinta da Alorna 2016 Reserva Red,Portugal,Tejo
#32. Hayes Valley 2018 Meritage,USA,Central Coast
#31. Samuel Robert 2019 Vintner's Reserve Pinot Noir Rosé,USA,Willamette Valley
#30. Bodegas Aragonesas 2018 Don Ramón Barrica Red,Spain,Campo de Borja
#29. Schlosskellerei Gobelsburg 2019 Grüner Veltliner,Austria,Kamptal
#28. Matchbook 2018 Estate Bottled Red Gravel Cabernet Sauvignon,USA,Dunnigan Hills
#27. Scotto Family Cellars NV Brut Sparkling,USA,California
#26. Dr. Loosen 2018 Dr. L Riesling,Germany,Mosel
#25. Chronic Cellars 2018 Purple Paradise Red,USA,Paso Robles
#24. Sterling 2018 Vintner's Collection Pinot Noir,USA,California
#23. Cave de Ribeauvillé NV Giersberger Rosé Brut Pinot Noir,France,Crémant d'Alsace
#22. Disruption 2018 Riesling,USA,Ancient Lakes
#21. J. Lohr 2016 South Ridge Syrah,USA,Paso Robles
#20. Casa de Cambres 2016 Reserva Red,Portugal,Douro
#19. Bodegas Luzón 2017 Luzón Colección Monastrell,Spain,Jumilla
#18. Kirkland Signature 2016 Red,USA,Napa Valley
#17. McGuigan 2018 The Plan Chardonnay,Australia,South Eastern Australia
#16. Parducci 2017 Small Lot Petite Sirah,USA,Mendocino County
#15. Casca Wines 2017 1808 Colheita Syrah-Castelão-Aragonez Red,Portugal,Lisboa
#14. Foris 2018 Pinot Gris,USA,Rogue Valley
#13. Bogle 2017 Old Vine Zinfandel,USA,California
#12. J. Bookwalter NV Notebook 14NV Red,USA,Columbia Valley (WA)
#11. Campuget 2019 Tradition Rosé,France,Costières de Nîmes
#10. Bota Box 2018 Nighthawk Black Red,USA,California
#9. Pizzolato 2018 Fields Brut Frizzante Glera,Italy,Prosecco
#8. Bonny Doon 2019 Vin Gris de Cigare Rosé,USA,Central Coast
#7. Yalumba 2018 The Y Series Cabernet Sauvignon,Australia,South Australia
#6. Four Vines 2018 Naked Chardonnay,USA,Central Coast
#5. Inama 2018 Vin Soave Garganega,Italy,Soave Classico
#4. Passionate Wine 2019 Del Mono Malbec-Syrah,Argentina,Tupungato
#3. Louis Jadot 2018 Beaujolais,France,Beaujolais
#2. Dark Horse 2019 Pinot Grigio,USA,California
#1. Montecillo 2016 Crianza Tempranillo,Spain,Rioja
#95. Electra 2018 Moscato Rosé,USA,California
#94. Villa Sparina 2018 del Comune di Gavi Cortese,Italy,Gavi
#92. Contesa 2016 Montepulciano,Italy,Montepulciano d'Abruzzo
#91. Carmen 2017 Frida Kahlo Single Vineyard Cabernet Sauvignon,Chile,Maipo Valley
#90. L'Ecole No. 41 2018 Luminesce Seven Hills Vineyard...,USA,Walla Walla Valley (WA)
#88. Atwater 2017 North Block Six Cabernet Franc,USA,Finger Lakes
#86. Donnafugata 2018 Sur Sur Grillo,Italy,Sicilia
#83. Terra d'Oro 2017 Barbera,USA,Amador County
#82. Château d'Anglès 2017 Classique Syrah-Grenache-Mourvèdre Red,France,La Clape
#80. Avennia 2016 Gravura Red,USA,Columbia Valley (WA)
#79. Cantina Zaccagnini 2018 Dal Tralcetto Dry Rosé Montepulciano,Italy,Cerasuolo d'Abruzzo
#77. Milbrandt 2017 Merlot,USA,Columbia Valley (WA)
#71. Sebastiani 2016 Merlot,USA,North Coast
#70. Abad Dom Bueno 2015 Carracedo Mencía,Spain,Bierzo
#69. Domaine Jessiaume 2017 Les Cents Vignes Premier Cru,France,Beaune
#67. Raats Family 2017 Old Vine Chenin Blanc,South Africa,Stellenbosch
#65. Rivera 2013 Cappellaccio Riserva Aglianico,Italy,Castel del Monte
#63. Granbazán 2017 Etiqueta Ámbar Albariño,Spain,Rías Baixas
#61. W.T. Vintners 2018 Underwood Mountain Vineyard Grüner Veltliner,USA,Columbia Gorge (WA)
#58. Barkan 2016 Reserve Cabernet Sauvignon,Israel,Galilee
#57. Elk Cove 2018 Estate Pinot Blanc,USA,Willamette Valley
#56. José Maria da Fonseca 2017 José de Sousa Red,Portugal,Alentejano
#54. Château Tanunda 2016 Matthews Road Cabernet Sauvignon,Australia,Barossa
#51. Storm 2015 Vrede Pinot Noir,South Africa,Hemel-en-Aarde Valley
#50. Le Chiuse 2014 Sangiovese,Italy,Brunello di Montalcino
#49. Pyramid Valley 2016 Field of Fire Chardonnay,New Zealand,North Canterbury
#48. Arietta 2016 Quartet Red,USA,Napa Valley
#44. Soter 2017 North Valley Chardonnay,USA,Willamette Valley
#41. Elena Walch 2017 Vigna Castel Ringberg Pinot Grigio,Italy,Alto Adige
#40. Lail 2016 Blueprint Cabernet Sauvignon,USA,Napa Valley
#39. Von Buhl 2016 Brut Riesling,Germany,Pfalz
#37. Hyland 2017 Old Vine Single Vineyard Pinot Noir,USA,McMinnville
#36. Domaine de la Pirolette 2017 Saint-Amour,France,Saint-Amour
#35. Giovanni Rosso 2017 Bianco White,Italy,Etna
#34. Diora 2017 La Splendeur du Soleil Chardonnay,USA,Monterey
#33. Château Peyros 2015 Vieilles Vignes Tannat-Cabernet,France,Madiran
#32. Cayuse 2016 En Cerise Vineyard Syrah,USA,Walla Walla Valley (OR)
#30. Renato Ratti 2015 Marcenasco Nebbiolo,Italy,Barolo
#29. Château d'Aqueria 2018 Rosé,France,Tavel
#27. Ventisquero 2014 Vertice Apalta Vineyard Carmenère-Syrah,Chile,Colchagua Valley
#24. Brandborg 2015 Gewurztraminer,USA,Elkton Oregon
#23. Marangona 2018 Turbiana,Italy,Lugana
#22. Château Clos Haut-Peyraguey 2016 Sauternes,France,Sauternes
#21. Holus Bolus 2017 Presqu'ile Vineyard Syrah,USA,Santa Maria Valley
#19. Bonny Doon 2018 Le Cigare Volant Cuvée Oumuamua Red,USA,Monterey
#18. Paltrinieri 2018 Radice Lambrusco di Sorbara,Italy,Lambrusco di Sorbara
#17. Ben Haines 2017 Roussanne,Australia,Upper Goulburn
#16. Château Cambon la Pelouse 2016 Haut-Médoc,France,Haut-Médoc
#15. Roar 2017 Sierra Mar Vineyard Pinot Noir,USA,Santa Lucia Highlands
#14. Tiefenbrunner 2017 Feldmarschal Von Fenner Müller-Thurgau,Italy,Alto Adige
#11. Salcheto 2015 Sangiovese,Italy,Vino Nobile di Montepulciano
#9. Fritz Haag 2017 Brauneberger Juffer Auslese Grosse Lage Riesling,Germany,Mosel
#8. Quinta do Vale Meão 2016 Red,Portugal,Douro
#7. Massican 2018 Annia White,USA,Napa Valley
#4. Grosset 2018 Polish Hill Riesling,Australia,Clare Valley
#3. Domaine de la Janasse 2016 Vieilles Vignes Red,France,Châteauneuf-du-Pape
#2. Williams Selyem 2017 Pinot Noir,USA,Sonoma County
#1. Nino Franco NV Rustico Brut Glera,Italy,Valdobbiadene Prosecco Superiore
#92. Savage Grace 2017 Dineen Vineyard Côt,USA,Rattlesnake Hills
#87. Heitz 2015 Grignolino,USA,Napa Valley
#81. Château Pégau 2016 Cuvée Maclura Red,France,Côtes du Rhône
#80. Pine Ridge 2017 Chenin Blanc-Viognier,USA,California
#79. Herdade do Esporão 2015 Esporão Reserva Red,Portugal,Alentejo
#77. Involuntary Commitment 2016 Red,USA,Columbia Valley (WA)
#72. De Fermo 2016 Don Carlino Pecorino,Italy,Abruzzo
#71. Lucien Albrecht NV Brut Sparkling,France,Crémant d'Alsace
#66. Quinta da Rede 2016 Grande Reserva White,Portugal,Douro
#64. Maison Saint Aix 2017 Aix Rosé,France,Coteaux d'Aix-en-Provence
#62. Giant Steps 2016 Sexton Vineyard Chardonnay,Australia,Yarra Valley
#61. Abacela 2015 Fiesta Tempranillo,USA,Umpqua Valley
#57. Polkura 2015 Syrah,Chile,Marchigue
#54. Margerum 2017 M5 Margerum Estate Vineyard White,USA,Los Olivos District
#53. Soléna 2017 Pinot Gris,USA,Willamette Valley
#52. B. Leighton 2015 Olsen Brothers Syrah,USA,Yakima Valley
#48. Hermann J. Wiemer 2016 Estate Bottled and Grown Dry Riesling,USA,Seneca Lake
#46. Kumeu River 2016 Hunting Hill Chardonnay,New Zealand,Kumeu
#44. Yering Station 2016 Little Yering Pinot Noir,Australia,Yarra Valley
#40. Patricia Green Cellars 2016 Estate Vineyard Old Vine Pinot Noir,USA,Ribbon Ridge
#37. Idlewild 2017 The Bird Flora and Fauna Red,USA,Mendocino County
#36. Domaine des Terres Dorées 2016 Fleurie,France,Fleurie
#33. Binyamina 2014 Yogev Cabernet Sauvignon-Shiraz,Israel,Israel
#29. Trefethen 2015 Family Owned Estate Grown Cabernet Sauvignon,USA,Oak Knoll District
#28. Domaine du Haut Bourg 2009 Origine du Haut Bourg Melon de Bourgogne,France,Muscadet Côtes de Grandlieu
#27. Villa Creek 2015 Willow Creek Cuvée Red,USA,Willow Creek
#25. Big Table Farm 2016 Chardonnay,USA,Willamette Valley
#23. Biondi 2016 Outis Rosso Nerello Mascalese,Italy,Etna
#20. Paltrinieri 2017 Leclisse Lambrusco di Sorbara,Italy,Lambrusco di Sorbara
#14. J Wrigley 2017 Estate Riesling,USA,McMinnville
#13. Vignobles Brumont 2014 Château Bouscassé Red,France,Madiran
#9. Ramey 2015 Chardonnay,USA,Sonoma Coast
#8. Ca' dei Zago 2015 Dosaggio Zero Metodo Classico Glera,Italy,Prosecco di Valdobbiadene
#7. Franz Keller 2016 Vom Löss Pinot Noir,Germany,Baden
#5. Elk Cove 2017 Estate Pinot Blanc,USA,Willamette Valley
#4. Domaine Saint Damien 2016 Les Souteyrades Grenache-Mourvèdre,France,Gigondas
#3. Santa Carolina 2015 Reserva de Familia Cabernet Sauvignon,Chile,Maipo Valley
#2. Roederer Estate 2011 L'Ermitage Brut Sparkling,USA,Anderson Valley
#1. Michele Chiarlo 2015 Cipressi Barbera,Italy,Nizza
#99. No Girls 2014 La Paciencia Vineyard Grenache,USA,Walla Walla Valley (OR)
#98. DeMorgenzon 2014 Maestro White,South Africa,Stellenbosch
#97. E. Guigal 2011 Château d'Ampuis Red,France,Côte Rôtie
#96. Tolpuddle 2014 Chardonnay,Australia,Tasmania
#94. Alcance 2014 Gran Reserva Carmenère,Chile,Maule Valley
#93. Cadence 2015 Coda Red,USA,Red Mountain
#92. Thörle 2016 Trocken Weissburgunder,Germany,Rheinhessen
#89. Michel Vattan 2015 Cuvée Calcaire Sauvignon Blanc,France,Sancerre
#88. Alloro 2014 Estate Pinot Noir,USA,Chehalem Mountains
#87. Atze's Corner 2015 Estate Grown Shiraz,Australia,Barossa Valley
#86. Andreola 2016 Dirupo Brut Glera,Italy,Valdobbiadene Prosecco Superiore
#85. Domaine du Pegau 2013 Cuvée Réservée Red,France,Châteauneuf-du-Pape
#84. Numanthia 2012 Numanthia Tinta de Toro,Spain,Toro
#80. Lucatoni 2013 Grand Reserve Cabernet Sauvignon,Chile,Colchagua Valley
#79. Kevin White 2015 Red,USA,Yakima Valley
#78. Château Belle-Vue 2014 Haut-Médoc,France,Haut-Médoc
#76. Meerlust 2014 Chardonnay,South Africa,Stellenbosch
#75. Esk Valley 2014 Gimblett Gravels Merlot-Cabernet Sauvignon...,New Zealand,Hawke's Bay
#74. Aveleda 2015 Reserva da Familia Branco White,Portugal,Bairrada
#73. Kilikanoon 2015 Killerman's Run Riesling,Australia,Clare Valley
#72. Les Frères Couillaud 2016 Château de la Ragotière...,France,Muscadet Sèvre et Maine
#71. Braida di Giacomo Bologna 2014 Monte Bruna Barbera,Italy,Barbera d'Asti
#66. Pascual Toso 2014 Alta Barrancas Vineyards Cabernet Sauvignon,Argentina,Mendoza
#65. Celler Pasanau 2012 Finca La Planeta Red,Spain,Priorat
#63. Dalton 2014 Alma Red,Israel,Galilee
#62. Quady North 2015 Steelhead Run Vineyard Viognier,USA,Applegate Valley
#59. Vina Robles 2013 Suendero Red,USA,Paso Robles
#55. Moulin Touchais 1996 Chenin Blanc,France,Coteaux du Layon
#53. Galerie 2016 Naissance Sauvignon Blanc,USA,Napa Valley
#52. Mascota 2014 Unánime Gran Vino Tinto Red,Argentina,Mendoza
#51. Stolpman 2016 Para Maria de los Tecolotes Red,USA,Santa Barbara County
#49. Domaine Laporte 2016 Le Rochoy Sauvignon Blanc,France,Sancerre
#48. Le Fraghe 2015 Brol Grande Red,Italy,Bardolino
#47. Bonterra 2014 Made With Organic Grapes Cabernet Sauvignon,USA,California
#44. CVNE 2010 Imperial Gran Reserva Tempranillo,Spain,Rioja
#43. Paltrinieri 2016 Radice Lambrusco di Sorbara,Italy,Lambrusco di Sorbara
#42. Cave Spring 2015 Estate Riesling,Canada,Beamsville Bench
#40. Miraflores NV Muscat Canelli,USA,El Dorado
#39. Duménil 2012 Premier Cru Special Club,France,Champagne
#37. Gini 2015 La Froscà Garganega,Italy,Soave Classico
#35. Hermann J. Wiemer 2015 Dry Riesling,USA,Seneca Lake
#31. Two Vintners 2014 Syrah,USA,Columbia Valley (WA)
#30. San Felice 2013 Il Grigio Gran Selezione Red,Italy,Chianti Classico
#27. Stolo 2014 Estate Syrah,USA,San Luis Obispo County
#25. Tre Monti 2015 Vitalba in Anfora Albana,Italy,Romagna
#21. Koehler 2014 Mourvèdre,USA,Santa Ynez Valley
#20. Chateau Dereszla 2009 Aszú 5 Puttonyos White,Hungary,Tokaji
#19. Valderiz 2014 Juegabolos Tinta del Pais,Spain,Ribera del Duero
#17. Shea 2014 Shea Vineyard Chardonnay,USA,Willamette Valley
#15. Heitz 2016 Grignolino Rosé,USA,Napa Valley
#13. Cartuxa 2014 Pêra-Manca Branco White,Portugal,Alentejo
#11. Trisaetum 2016 Ribbon Ridge Estate Dry Riesling,USA,Ribbon Ridge
#10. Easton 2014 Old Vine Rinaldi Vineyard Zinfandel,USA,Fiddletown
#8. Château Vignelaure 2016 Rosé,France,Coteaux d'Aix-en-Provence
#7. Abbazia di Novacella 2015 Praepositus Kerner,Italy,Alto Adige
#5. Alvear NV Solera 1927 Pedro Ximénez,Spain,Montilla-Moriles
#2. Produttori del Barbaresco 2011 Rabajà Riserva Nebbiolo,Italy,Barbaresco